"StartMSOA","EndMSOA","Bicycle","Bus, minibus, coach","Car or van driver","Car or van passenger","Metrolink","Motorcycle, scooter, moped","Other","Taxi, minicab","Train","Walk","ctw"
"E02000001","E02001074",,1,,,,,,,,,0.00
"E02000001","E02001199",,,,,,,,,1,,0.00
"E02000188","E02001172",,,,,,,,,1,,0.00
"E02000193","E02000977",,,1,,,,,,,,0.00
"E02000370","E02001055",,,,,,,,,1,,0.00
"E02000381","E02000979",,,,,,,1,,,,0.00
"E02000396","E02001081",,,,,,,,,1,,0.00
"E02000494","E02002099",,,1,,,,,,,,0.00
"E02000564","E02001315",,1,,,,,,,,,0.00
"E02000569","E02001204",,,1,,,,,,,,0.00
"E02000576","E02001258",,,,,,,,,1,,0.00
"E02000884","E02001006",,,1,1,,,,,,,0.00
"E02000890","E02001271",,,,,,,,,2,,0.00
"E02000972","E02000972",,,1,,,,,,,,0.00
"E02000972","E02000977",,,1,,,,,,,,0.00
"E02000972","E02001061",,,,,,,,,2,,0.00
"E02000972","E02001213",,,,,,,,,1,,0.00
"E02000977","E02000997",,,1,,,,,,,,0.00
"E02000977","E02000998",,,1,,,,,,,,0.00
"E02000977","E02001044",,,1,2,,,,,,,0.00
"E02000977","E02001074",,3,,,,,,,,,0.00
"E02000977","E02001083",,,,,,,,,1,,0.00
"E02000977","E02001161",,,1,5,,,,,,,0.00
"E02000977","E02001171",,,1,,,,,,,,0.00
"E02000977","E02001253",,,1,,,,,,,,0.00
"E02000977","E02001257",,,,,,,,,1,,0.00
"E02000977","E02001258",,,,,,,,,1,,0.00
"E02000977","E02001260",,,1,,,,,,,,0.00
"E02000977","E02001282",,,,,,,,,1,,0.00
"E02000977","E02001284",,,,,,,,,1,,0.00
"E02000977","E02001731",,,,,,,,,1,,0.00
"E02000977","E02004938",,,1,,,,,,,,0.00
"E02000979","E02000381",,,,,,,1,,,,0.00
"E02000982","E02001090",,1,,,,,,,,,0.00
"E02000984","E02000984",,,2,,,,,2,,4,0.00
"E02000984","E02000985",,,,,,,,,,1,0.00
"E02000984","E02000986",,,2,2,,,,,,,0.00
"E02000984","E02000987",,,,,,,1,,,,0.00
"E02000984","E02000988",,,1,,,,,,,,0.00
"E02000984","E02000991",,,1,1,,,,,,,0.00
"E02000984","E02000994",,,1,,,,,,,,0.00
"E02000984","E02000999",,,1,,,,,,,,0.00
"E02000984","E02001004",,,1,,,,,,,,0.00
"E02000984","E02001005",,,1,,,,,,,,0.00
"E02000984","E02001011",,,1,1,,,,,,,0.00
"E02000984","E02001026",,,1,1,,,,,,,0.00
"E02000984","E02001034",,,1,,,,,,,,0.00
"E02000984","E02001149",,,1,,,,,,,,0.00
"E02000984","E02001308",,,1,,,,,,,,0.00
"E02000984","E02002632",,,1,1,,,,,,,0.00
"E02000984","E02005202",,,1,1,,,,,,,0.00
"E02000984","E02006917",,1,,,,,,,,,0.00
"E02000985","E02000984",,,,,,,,,,1,0.00
"E02000985","E02000985",,,5,1,,,,,,7,0.00
"E02000985","E02000986",,,2,,,,,,,,0.00
"E02000985","E02000993",,1,,,,,,,,,0.00
"E02000985","E02000995",,,1,,,,,,,,0.00
"E02000985","E02000999",,,2,1,,,,,,,0.00
"E02000985","E02001008",,,1,1,,,,,,,0.00
"E02000985","E02001019",,,,1,,,,,,,0.00
"E02000985","E02001024",,,1,,,,,,,,0.00
