"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14"
"E02000984","E02000984",1982,0,0,0,26,0,0,383,0,47,1526,0
"E02000985","E02000984",1001,0,0,0,25,0,0,300,0,20,656,0
"E02000986","E02000984",1006,0,0,0,19,0,0,253,0,22,712,0
"E02000987","E02000984",41,0,0,0,3,0,0,37,0,0,1,0
"E02000988","E02000984",1299,0,0,0,21,0,0,523,0,23,732,0
"E02000989","E02000984",728,0,0,0,21,0,0,358,0,10,339,0
"E02000990","E02000984",206,0,0,0,13,0,0,182,0,0,11,0
"E02000991","E02000984",680,0,0,0,16,0,0,214,0,14,436,0
"E02000992","E02000984",44,0,0,0,2,0,0,39,0,0,3,0
"E02000993","E02000984",570,0,0,0,17,0,0,172,0,11,370,0
"E02000994","E02000984",501,0,0,0,16,0,0,214,0,8,263,0
"E02000995","E02000984",190,0,0,0,6,0,0,76,0,3,105,0
"E02000996","E02000984",140,0,0,0,5,0,0,85,0,2,48,0
"E02000997","E02000984",149,0,0,0,6,0,0,134,0,0,9,0
"E02000998","E02000984",486,0,0,0,13,0,0,288,0,6,179,0
"E02000999","E02000984",1788,0,0,0,181,0,0,1013,0,18,576,0
"E02001000","E02000984",466,0,0,0,28,0,0,239,0,6,193,0
"E02001001","E02000984",171,0,0,0,5,0,0,111,0,2,53,0
"E02001002","E02000984",120,0,0,0,2,0,0,91,0,1,26,0
"E02001003","E02000984",119,0,0,0,2,0,0,71,0,1,45,0
"E02001004","E02000984",163,0,0,0,11,0,0,112,0,1,39,0
"E02001005","E02000984",560,0,0,0,82,0,0,363,0,3,112,0
"E02001006","E02000984",104,0,0,0,6,0,0,80,0,1,17,0
"E02001007","E02000984",76,0,0,0,1,0,0,71,0,0,4,0
"E02001008","E02000984",103,0,0,0,7,0,0,77,0,1,18,0
"E02001009","E02000984",103,0,0,0,2,0,0,85,0,0,16,0
"E02001010","E02000984",115,0,0,0,1,0,0,103,0,0,11,0
"E02001011","E02000984",28,0,0,0,3,0,0,24,0,0,1,0
"E02001012","E02000984",111,0,0,0,4,0,0,103,0,0,4,0
"E02001013","E02000984",40,0,0,0,2,0,0,36,0,0,2,0
"E02001014","E02000984",26,0,0,0,3,0,0,21,0,0,2,0
"E02001015","E02000984",94,0,0,0,1,0,0,89,0,0,4,0
"E02001016","E02000984",63,0,0,0,0,0,0,60,0,0,3,0
"E02001017","E02000984",41,0,0,0,0,0,0,40,0,0,1,0
"E02001019","E02000984",54,0,0,0,0,0,0,54,0,0,0,0
"E02001021","E02000984",92,0,0,0,2,0,0,83,0,0,7,0
"E02001022","E02000984",42,0,0,0,0,0,0,42,0,0,0,0
"E02001023","E02000984",47,0,0,0,0,0,0,47,0,0,0,0
"E02001024","E02000984",44,0,0,0,1,0,0,43,0,0,0,0
"E02001026","E02000984",53,0,0,0,2,0,0,51,0,0,0,0
"E02001027","E02000984",57,0,0,0,1,0,0,56,0,0,0,0
"E02001028","E02000984",49,0,0,0,0,0,0,49,0,0,0,0
"E02001029","E02000984",40,0,0,0,2,0,0,38,0,0,0,0
"E02001030","E02000984",89,0,0,0,1,0,0,77,0,0,11,0
"E02001031","E02000984",47,0,0,0,1,0,0,46,0,0,0,0
"E02001032","E02000984",48,0,0,0,0,0,0,48,0,0,0,0
"E02001033","E02000984",50,0,0,0,2,0,0,48,0,0,0,0
"E02001034","E02000984",62,0,0,0,0,0,0,62,0,0,0,0
"E02001035","E02000984",26,0,0,0,0,0,0,26,0,0,0,0
"E02001036","E02000984",78,0,0,0,0,0,0,78,0,0,0,0
"E02001037","E02000984",26,0,0,0,2,0,0,24,0,0,0,0
"E02001062","E02000984",21,0,0,0,19,0,0,2,0,0,0,0
"E02001159","E02000984",23,0,0,0,0,0,0,23,0,0,0,0
"E02001165","E02000984",21,0,0,0,0,0,0,21,0,0,0,0
"E02001168","E02000984",30,0,0,0,1,0,0,29,0,0,0,0
"E02001170","E02000984",27,0,0,0,1,0,0,26,0,0,0,0
"E02001177","E02000984",21,0,0,0,0,0,0,21,0,0,0,0
"E02006902","E02000984",26,0,0,0,15,0,0,11,0,0,0,0
"E02006912","E02000984",25,0,0,0,24,0,0,1,0,0,0,0
"E02006917","E02000984",21,0,0,0,9,0,0,12,0,0,0,0
"E02000984","E02000985",1233,0,0,0,11,0,0,259,0,7,956,0
"E02000985","E02000985",959,0,0,0,15,0,0,237,0,21,686,0
"E02000986","E02000985",440,0,0,0,7,0,0,143,0,9,281,0
"E02000987","E02000985",26,0,0,0,1,0,0,24,0,0,1,0
"E02000988","E02000985",516,0,0,0,8,0,0,339,0,5,164,0
"E02000989","E02000985",1345,0,0,0,20,0,0,339,0,30,956,0
"E02000990","E02000985",214,0,0,0,3,0,0,208,0,0,3,0
"E02000991","E02000985",157,0,0,0,2,0,0,123,0,1,31,0
"E02000993","E02000985",405,0,0,0,11,0,0,131,0,8,255,0
"E02000994","E02000985",191,0,0,0,5,0,0,145,0,1,40,0
"E02000995","E02000985",60,0,0,0,0,0,0,57,0,0,3,0
"E02000996","E02000985",245,0,0,0,6,0,0,86,0,5,148,0
"E02000997","E02000985",138,0,0,0,3,0,0,133,0,0,2,0
"E02000998","E02000985",204,0,0,0,10,0,0,167,0,1,26,0
"E02000999","E02000985",899,0,0,0,160,0,0,539,0,6,194,0
"E02001000","E02000985",331,0,0,0,22,0,0,160,0,4,145,0
"E02001001","E02000985",72,0,0,0,1,0,0,66,0,0,5,0
