"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14"
"E02000984","E02000984",6304,0,0,0,54,0,0,597,0,138,5515,0
"E02000985","E02000984",2695,0,0,0,95,0,0,585,0,49,1966,0
"E02000986","E02000984",1546,0,0,0,28,0,0,263,0,31,1224,0
"E02000987","E02000984",37,0,0,0,0,0,0,36,0,1,0,0
"E02000988","E02000984",1865,0,0,0,27,0,0,669,0,29,1140,0
"E02000989","E02000984",818,0,0,0,23,0,0,329,0,118,348,0
"E02000990","E02000984",297,0,0,0,4,0,0,286,0,4,3,0
"E02000991","E02000984",400,0,0,0,6,0,0,117,0,70,207,0
"E02000992","E02000984",20,0,0,0,0,0,0,19,0,1,0,0
"E02000993","E02000984",844,0,0,0,33,0,0,224,0,149,438,0
"E02000994","E02000984",572,0,0,0,17,0,0,195,0,91,269,0
"E02000995","E02000984",162,0,0,0,6,0,0,101,0,14,41,0
"E02000996","E02000984",166,0,0,0,5,0,0,94,0,17,50,0
"E02000997","E02000984",204,0,0,0,2,0,0,190,0,7,5,0
"E02000998","E02000984",448,0,0,0,2,0,0,270,0,45,131,0
"E02000999","E02000984",3284,0,0,0,860,0,0,1300,0,285,839,0
"E02001000","E02000984",573,0,0,0,15,0,0,207,0,89,262,0
"E02001001","E02000984",115,0,0,0,3,0,0,97,0,4,11,0
"E02001002","E02000984",224,0,0,0,1,0,0,143,0,45,35,0
"E02001003","E02000984",134,0,0,0,3,0,0,113,0,10,8,0
"E02001004","E02000984",254,0,0,0,75,0,0,120,0,15,44,0
"E02001005","E02000984",585,0,0,0,132,0,0,347,0,60,46,0
"E02001006","E02000984",87,0,0,0,4,0,0,72,0,6,5,0
"E02001007","E02000984",87,0,0,0,0,0,0,76,0,6,5,0
"E02001008","E02000984",160,0,0,0,12,0,0,107,0,23,18,0
"E02001009","E02000984",100,0,0,0,0,0,0,78,0,12,10,0
"E02001010","E02000984",129,0,0,0,2,0,0,108,0,11,8,0
"E02001011","E02000984",41,0,0,0,3,0,0,38,0,0,0,0
"E02001012","E02000984",173,0,0,0,5,0,0,165,0,2,1,0
"E02001013","E02000984",47,0,0,0,2,0,0,45,0,0,0,0
"E02001014","E02000984",30,0,0,0,4,0,0,26,0,0,0,0
"E02001015","E02000984",108,0,0,0,1,0,0,102,0,3,2,0
"E02001016","E02000984",79,0,0,0,0,0,0,73,0,3,3,0
"E02001017","E02000984",52,0,0,0,0,0,0,52,0,0,0,0
"E02001018","E02000984",19,0,0,0,3,0,0,16,0,0,0,0
"E02001019","E02000984",71,0,0,0,0,0,0,71,0,0,0,0
"E02001020","E02000984",17,0,0,0,0,0,0,17,0,0,0,0
"E02001021","E02000984",118,0,0,0,3,0,0,115,0,0,0,0
"E02001022","E02000984",69,0,0,0,0,0,0,69,0,0,0,0
"E02001023","E02000984",52,0,0,0,0,0,0,52,0,0,0,0
"E02001024","E02000984",53,0,0,0,2,0,0,51,0,0,0,0
"E02001025","E02000984",7,0,0,0,0,0,0,7,0,0,0,0
"E02001026","E02000984",75,0,0,0,4,0,0,71,0,0,0,0
"E02001027","E02000984",72,0,0,0,0,0,0,72,0,0,0,0
