home_msoa,home_msoa_name,all,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,govtarget_slc,govtarget_sic,govtarget_slw,govtarget_siw,govtarget_sld,govtarget_sid,gendereq_slc,gendereq_sic,gendereq_slw,gendereq_siw,gendereq_sld,gendereq_sid,dutch_slc,dutch_sic,dutch_slw,dutch_siw,dutch_sld,dutch_sid,ebike_slc,ebike_sic,ebike_slw,ebike_siw,ebike_sld,ebike_sid,base_sldeath_webtag,base_slvalue_webtag,govtarget_sldeath_webtag,govtarget_slvalue_webtag,govtarget_sideath_webtag,govtarget_sivalue_webtag,gendereq_sldeath_webtag,gendereq_slvalue_webtag,gendereq_sideath_webtag,gendereq_sivalue_webtag,dutch_sldeath_webtag,dutch_slvalue_webtag,dutch_sideath_webtag,dutch_sivalue_webtag,ebike_sldeath_webtag,ebike_slvalue_webtag,ebike_sideath_webtag,ebike_sivalue_webtag,base_sldeath_heat,base_slvalue_heat,govtarget_sldeath_heat,govtarget_slvalue_heat,govtarget_sideath_heat,govtarget_sivalue_heat,gendereq_sldeath_heat,gendereq_slvalue_heat,gendereq_sideath_heat,gendereq_sivalue_heat,dutch_sldeath_heat,dutch_slvalue_heat,dutch_sideath_heat,dutch_sivalue_heat,ebike_sldeath_heat,ebike_slvalue_heat,ebike_sideath_heat,ebike_sivalue_heat,base_slco2,govtarget_slco2,govtarget_sico2,gendereq_slco2,gendereq_sico2,dutch_slco2,dutch_sico2,ebike_slco2,ebike_sico2
E02000984,Bolton 001,24014,0,0,1616,0,0,8361,0,1319,12718,0,1704.427,385.427,12463.785,-254.215,8250.9092,-110.091,1475.626,156.62601,12579.413,-138.58701,8344.4141,-16.586,4980.8159,3661.8159,10133.851,-2584.1499,7439.624,-921.37598,7843.9058,6524.9058,8529.3281,-4188.6709,6389.686,-1971.314,-.028890001,53594,-.033130001,61424,-.0042500002,7830,-.026830001,49775,.0020600001,-3819,-.01464,27109,.01425,-26485,.10563,-196027,.13451999,-249621,-.026219999,48652,-.030029999,55673,-.0038099999,7021,-.025119999,46593,.00111,-2059,-.03039,56335,-.0041700001,7683,.031789999,-59023,.058010001,-107675,-30373,-36169,-5796,-30659,-286,-72752,-42379,-141265,-110892
E02000985,Bolton 002,18282,0,0,3327,0,0,9459,0,323,5173,0,610.27502,287.27499,5068.2998,-104.7,9326.2266,-132.77299,617.539,294.539,5034.2959,-138.703,9348.2207,-110.779,3822.127,3499.127,3823.324,-1349.676,7891.7988,-1567.201,5884.4019,5561.4019,3221.6001,-1951.4,6787.6172,-2671.384,-.021199999,39327,-.04132,76592,-.02012,37265,-.0265,49147,-.0052899998,9820,-.25463,472355,-.23343,433028,-.25740001,477482,-.23619001,438155,-.0144,26709,-.0274,50771,-.013,24062,-.01839,34103,-.0039900001,7394,-.17167,318430,-.15727,291721,-.17987999,333658,-.16547,306949,-8324,-15225,-6901,-11864,-3540,-84654,-76330,-157460,-149136
E02000986,Bolton 003,8424,0,0,1000,0,0,4007,0,165,3252,0,294.65201,129.65199,3194.063,-57.936001,3950.335,-56.665001,251.737,86.737,3201.3291,-50.671001,3973.207,-33.792999,1745.71,1580.71,2522.4021,-729.59802,3346.9041,-660.09601,2792.897,2627.897,2091.293,-1160.707,2842.79,-1164.21,-.0077999998,14456,-.01341,24834,-.00562,10378,-.0088,16316,-.001,1860,-.069190003,128318,-.061390001,113862,-.039250001,72773,-.03145,58317,-.0054799998,10155,-.0092900004,17181,-.0038099999,7026,-.0063399998,11744,-.00085999997,1589,-.049589999,91947,-.04411,81792,-.033980001,62998,-.0285,52843,-4288,-6962,-2674,-5663,-1375,-34313,-30025,-63278,-58990
E02000987,Bolton 004,4237,0,0,505,0,0,1801,0,131,1800,0,204.30499,73.305,1758.0341,-41.966,1776.554,-24.445999,206.09599,75.096001,1752.837,-47.162998,1779.9771,-21.023001,878.638,747.638,1342.3361,-457.664,1574.858,-226.142,1358.707,1227.707,1132.865,-667.13501,1366.496,-434.504,-.01373,25466,-.01598,29613,-.0022499999,4147,-.01465,27164,-.00092000002,1698,-.025219999,46744,-.01148,21278,-.018920001,35072,-.0051899999,9606,-.00978,18138,-.01146,21214,-.00167,3076,-.01055,19563,-.00076999998,1425,-.019929999,36941,-.01015,18803,-.01801,33374,-.0082299998,15236,-5323,-6534,-1211,-6159,-836,-15164,-9841,-29554,-24231
E02000988,Bolton 005,14629,0,0,1024,0,0,9030,0,230,4345,0,487.004,257.004,4251.8618,-93.138,8883.7002,-146.3,411.73599,181.73599,4269.6479,-75.350998,8932.4443,-97.556,3371.6431,3141.6431,3223.7759,-1121.224,7243.4561,-1786.5439,5141.5752,4911.5752,2703.7451,-1641.255,6110.9448,-2919.0549,-.01394,25854,-.025839999,47892,-.0119,22038,-.01891,35074,-.0049700001,9220,-.17471001,324091,-.16077,298237,-.14038999,260430,-.12645,234576,-.0094100004,17453,-.01747,32351,-.0080500003,14898,-.01292,23949,-.0035000001,6496,-.11993,222456,-.11051,205003,-.10194,189093,-.092529997,171640,-6544,-12408,-5864,-9974,-3430,-77465,-70921,-134509,-127965
E02000989,Bolton 006,19623,0,0,1604,0,0,9733,0,682,7604,0,1025.209,343.20901,7426.4502,-177.55,9592.2832,-140.717,910.04102,228.041,7458.2622,-145.73801,9655.958,-77.042,4254.0952,3572.094,5773.397,-1830.603,8244.4785,-1488.521,6617.062,5935.062,4894.0962,-2709.9041,6974.0918,-2758.908,-.035080001,65076,-.04662,86438,-.01153,21362,-.038139999,70744,-.0030499999,5668,-.16374999,303759,-.12867001,238683,-.11413,211690,-.079049997,146614,-.02503,46422,-.03325,61653,-.0082299998,15231,-.02746,50932,-.0024300001,4510,-.11895,220646,-.093929999,174224,-.094959997,176135,-.069930002,129713,-17992,-24863,-6871,-21259,-3267,-89747,-71755,-164346,-146354
E02000990,Bolton 007,31614,0,0,3182,0,0,16676,0,684,11072,0,1306.365,622.36499,10762.87,-309.13,16409.041,-266.95901,1004.481,320.48099,10900.136,-171.864,16558.537,-117.462,6496.585,5812.585,8234.8281,-2837.1709,14154.668,-2521.332,9912.2461,9228.2461,7071.6909,-4000.3081,12270.434,-4405.5659,-.06419,119074,-.091689996,170037,-.0275,50963,-.073090002,135584,-.0088999998,16510,-.35587001,660176,-.29168001,541102,-.38406,712484,-.31987,593410,-.044,81625,-.062350001,115600,-.018340001,33975,-.05023,93178,-.0062299999,11553,-.24392,452483,-.19992,370858,-.27386999,508044,-.22987001,426419,-25636,-37565,-11929,-29998,-4362,-135780,-110144,-261656,-236020
E02000991,Bolton 008,17560,0,0,1282,0,0,5502,0,609,10167,0,965.73999,356.73999,9925.2217,-241.77901,5411.1401,-90.860001,919.80499,310.80499,9933.3018,-233.698,5453.4648,-48.535,4189.833,3580.833,7786.0381,-2380.9619,4597.5381,-904.46198,6182.6079,5573.6079,6652.5942,-3514.406,3892.5691,-1609.431,-.01272,23591,-.01299,24050,-.00026999999,459,-.01117,20720,.00155,-2871,-.0034099999,6296,.0093,-17295,.10305,-191227,.11577,-214818,-.01208,22412,-.01323,24513,-.00115,2101,-.01156,21434,.00053000002,-978,-.0176,32612,-.0055200001,10200,.04228,-78485,.054370001,-100897,-13208,-16779,-3571,-14372,-1164,-46708,-33500,-82523,-69315
E02000992,Bolton 009,8369,0,0,839,0,0,3194,0,973,3363,0,1116.137,143.13699,3278.897,-84.102997,3145.533,-48.466999,1026.958,53.958,3323.6609,-39.339001,3181.2749,-12.725,1937.9659,964.966,2843.303,-519.69702,2805.446,-388.55399,2699.158,1726.158,2513.739,-849.26099,2449.104,-744.896,.02891,-53654,.0275,-51074,-.00141,2580,.029549999,-54833,.00063000002,-1179,-.0080599999,14913,-.036970001,68567,.021469999,-39881,-.0074399998,13773,-.015,27821,-.017720001,32823,-.00272,5002,-.01471,27280,.00029,-541,-.042169999,78186,-.02716,50365,-.02954,54762,-.01454,26941,-22554,-25607,-3053,-22885,-331,-44562,-22008,-70005,-47451
E02000993,Bolton 010,12253,0,0,960,0,0,5114,0,455,5724,0,722.53003,267.53,5565.3408,-158.659,5023.083,-90.916,1321.401,866.401,5043.3892,-680.61102,4957.8398,-156.159,3272.1299,2817.1299,4138.5869,-1585.413,4103.8262,-1010.174,4591.3428,4136.3428,3540.2561,-2183.7439,3490.2439,-1623.756,-.00202,3744,-.0042500002,7850,-.00223,4106,.0057999999,-10779,.0078299996,-14523,-.030069999,55749,-.02805,52005,.043579999,-80899,.045609999,-84643,-.00327,6066,-.0054000001,9968,-.0021200001,3902,.00063999998,-1196,.00391,-7262,-.030549999,56629,-.02727,50563,.01214,-22571,.01542,-28637,-8221,-11912,-3691,-10698,-2477,-48218,-39997,-80723,-72502
